"id","registration","timestamp","lat","lon","altitude"
132,"EC-MDO","2023-05-18 08:55:25.383",NULL,NULL,NULL
133,"EC-IKS","2023-05-18 08:55:25.728",NULL,NULL,NULL
134,"EC-ISB","2023-05-18 08:55:26.105",NULL,NULL,NULL
135,"EC-LDF","2023-05-18 08:55:26.546",NULL,NULL,NULL
136,"EC-KXU","2023-05-18 08:55:26.891",NULL,NULL,NULL
137,"EC-ISZ","2023-05-18 08:55:27.228",NULL,NULL,NULL
138,"EC-LAR","2023-05-18 08:55:27.569",NULL,NULL,NULL
139,"EC-JMK","2023-05-18 08:55:28.017",NULL,NULL,NULL
140,"EC-LGC","2023-05-18 08:55:28.356",NULL,NULL,NULL
141,"EC-LGD","2023-05-18 08:55:28.718",NULL,NULL,NULL
142,"EC-MHV","2023-05-18 08:55:29.109",NULL,NULL,NULL
143,"EC-LBD","2023-05-18 09:00:24.736",NULL,NULL,NULL
144,"EC-MMF","2023-05-18 09:00:25.125",NULL,NULL,NULL
145,"EC-MDO","2023-05-18 09:00:25.553",NULL,NULL,NULL
146,"EC-IKS","2023-05-18 09:00:25.96",NULL,NULL,NULL
147,"EC-ISB","2023-05-18 09:00:26.3",NULL,NULL,NULL
148,"EC-LDF","2023-05-18 09:00:26.723",NULL,NULL,NULL
149,"EC-KXU","2023-05-18 09:00:27.146",NULL,NULL,NULL
150,"EC-ISZ","2023-05-18 09:00:27.553",NULL,NULL,NULL
151,"EC-LAR","2023-05-18 09:00:27.963",NULL,NULL,NULL
152,"EC-JMK","2023-05-18 09:00:28.309",NULL,NULL,NULL
153,"EC-LGC","2023-05-18 09:00:28.662",NULL,NULL,NULL
154,"EC-LGD","2023-05-18 09:00:29.008",NULL,NULL,NULL
155,"EC-MHV","2023-05-18 09:00:29.4",NULL,NULL,NULL
156,"EC-LBD","2023-05-18 09:10:24.717",NULL,NULL,NULL
157,"EC-MMF","2023-05-18 09:10:25.104",NULL,NULL,NULL
158,"EC-MDO","2023-05-18 09:10:25.462",NULL,NULL,NULL
159,"EC-IKS","2023-05-18 09:10:25.851",NULL,NULL,NULL
160,"EC-ISB","2023-05-18 09:10:26.226",NULL,NULL,NULL
161,"EC-LDF","2023-05-18 09:10:26.632",NULL,NULL,NULL
162,"EC-KXU","2023-05-18 09:10:26.98",NULL,NULL,NULL
163,"EC-ISZ","2023-05-18 09:10:27.352",NULL,NULL,NULL
164,"EC-LAR","2023-05-18 09:10:27.727",NULL,NULL,NULL
165,"EC-JMK","2023-05-18 09:10:28.092",NULL,NULL,NULL
166,"EC-LGC","2023-05-18 09:10:28.464",NULL,NULL,NULL
167,"EC-LGD","2023-05-18 09:10:28.834",NULL,NULL,NULL
168,"EC-MHV","2023-05-18 09:10:29.189",NULL,NULL,NULL
169,"EC-LBD","2023-05-18 09:15:24.783",NULL,NULL,NULL
170,"EC-MMF","2023-05-18 09:15:25.138",NULL,NULL,NULL
171,"EC-MDO","2023-05-18 09:15:25.539",NULL,NULL,NULL
172,"EC-IKS","2023-05-18 09:15:25.889",NULL,NULL,NULL
173,"EC-ISB","2023-05-18 09:15:26.288",NULL,NULL,NULL
174,"EC-LDF","2023-05-18 09:15:26.679",NULL,NULL,NULL
175,"EC-KXU","2023-05-18 09:15:27.068",NULL,NULL,NULL
176,"EC-ISZ","2023-05-18 09:15:27.424",NULL,NULL,NULL
177,"EC-LAR","2023-05-18 09:15:27.888",NULL,NULL,NULL
178,"EC-JMK","2023-05-18 09:15:28.312",NULL,NULL,NULL
179,"EC-LGC","2023-05-18 09:15:28.653",NULL,NULL,NULL
180,"EC-LGD","2023-05-18 09:15:29.042",NULL,NULL,NULL
181,"EC-MHV","2023-05-18 09:15:29.419",NULL,NULL,NULL
182,"EC-LBD","2023-05-18 09:20:24.63",NULL,NULL,NULL
183,"EC-MMF","2023-05-18 09:20:24.992",NULL,NULL,NULL
184,"EC-MDO","2023-05-18 09:20:25.415",NULL,NULL,NULL
185,"EC-IKS","2023-05-18 09:20:25.878",NULL,NULL,NULL
186,"EC-ISB","2023-05-18 09:20:26.306",NULL,NULL,NULL
187,"EC-LDF","2023-05-18 09:20:26.718",NULL,NULL,NULL
188,"EC-KXU","2023-05-18 09:20:27.081",NULL,NULL,NULL
189,"EC-ISZ","2023-05-18 09:20:27.482",NULL,NULL,NULL
190,"EC-LAR","2023-05-18 09:20:27.864",NULL,NULL,NULL
191,"EC-JMK","2023-05-18 09:20:28.262",NULL,NULL,NULL
192,"EC-LGC","2023-05-18 09:20:28.626",NULL,NULL,NULL
193,"EC-LGD","2023-05-18 09:20:28.971",NULL,NULL,NULL
194,"EC-MHV","2023-05-18 09:20:29.353",NULL,NULL,NULL
195,"EC-LBD","2023-05-18 09:25:24.644",NULL,NULL,NULL
196,"EC-MMF","2023-05-18 09:25:25.024",NULL,NULL,NULL
197,"EC-MDO","2023-05-18 09:25:25.453",NULL,NULL,NULL
198,"EC-IKS","2023-05-18 09:25:25.811",NULL,NULL,NULL
199,"EC-ISB","2023-05-18 09:25:26.222",NULL,NULL,NULL
200,"EC-LDF","2023-05-18 09:25:26.556",NULL,NULL,NULL
201,"EC-KXU","2023-05-18 09:25:26.894",NULL,NULL,NULL
202,"EC-ISZ","2023-05-18 09:25:27.276",NULL,NULL,NULL
203,"EC-LAR","2023-05-18 09:25:27.661",NULL,NULL,NULL
204,"EC-JMK","2023-05-18 09:25:28.045",NULL,NULL,NULL
205,"EC-LGC","2023-05-18 09:25:28.419",NULL,NULL,NULL
206,"EC-LGD","2023-05-18 09:25:28.799",NULL,NULL,NULL
207,"EC-MHV","2023-05-18 09:25:29.18",NULL,NULL,NULL
208,"EC-LBD","2023-05-18 09:30:24.647",NULL,NULL,NULL
209,"EC-MMF","2023-05-18 09:30:24.995",NULL,NULL,NULL
210,"EC-MDO","2023-05-18 09:30:25.467",NULL,NULL,NULL
211,"EC-IKS","2023-05-18 09:30:25.895",NULL,NULL,NULL
212,"EC-ISB","2023-05-18 09:30:26.271",NULL,NULL,NULL
213,"EC-LDF","2023-05-18 09:30:26.62",NULL,NULL,NULL
214,"EC-KXU","2023-05-18 09:30:26.989",NULL,NULL,NULL
215,"EC-ISZ","2023-05-18 09:30:27.37",NULL,NULL,NULL
216,"EC-LAR","2023-05-18 09:30:27.829",NULL,NULL,NULL
217,"EC-JMK","2023-05-18 09:30:28.252",NULL,NULL,NULL
218,"EC-LGC","2023-05-18 09:30:28.586",NULL,NULL,NULL
219,"EC-LGD","2023-05-18 09:30:28.952",NULL,NULL,NULL
220,"EC-MHV","2023-05-18 09:30:29.402",NULL,NULL,NULL
221,"EC-LBD","2023-05-18 09:35:24.778",NULL,NULL,NULL
222,"EC-MMF","2023-05-18 09:35:25.177",NULL,NULL,NULL
223,"EC-MDO","2023-05-18 09:35:25.549",NULL,NULL,NULL
224,"EC-IKS","2023-05-18 09:35:25.919",NULL,NULL,NULL
225,"EC-ISB","2023-05-18 09:35:26.45",NULL,NULL,NULL
226,"EC-LDF","2023-05-18 09:35:26.806",NULL,NULL,NULL
227,"EC-KXU","2023-05-18 09:35:27.181",NULL,NULL,NULL
228,"EC-ISZ","2023-05-18 09:35:27.553",NULL,NULL,NULL
229,"EC-LAR","2023-05-18 09:35:27.928",NULL,NULL,NULL
230,"EC-JMK","2023-05-18 09:35:28.283",NULL,NULL,NULL
231,"EC-LGC","2023-05-18 09:35:28.672",NULL,NULL,NULL
232,"EC-LGD","2023-05-18 09:35:29.051",NULL,NULL,NULL
233,"EC-MHV","2023-05-18 09:35:29.506",NULL,NULL,NULL
234,"EC-LBD","2023-05-18 09:40:24.604",NULL,NULL,NULL
235,"EC-MMF","2023-05-18 09:40:24.94",NULL,NULL,NULL
236,"EC-MDO","2023-05-18 09:40:25.453",NULL,NULL,NULL
237,"EC-IKS","2023-05-18 09:40:25.844",NULL,NULL,NULL
238,"EC-ISB","2023-05-18 09:40:26.201",NULL,NULL,NULL
239,"EC-LDF","2023-05-18 09:40:26.546",NULL,NULL,NULL
240,"EC-KXU","2023-05-18 09:40:26.941",NULL,NULL,NULL
241,"EC-ISZ","2023-05-18 09:40:27.313",NULL,NULL,NULL
242,"EC-LAR","2023-05-18 09:40:27.777",NULL,NULL,NULL
243,"EC-JMK","2023-05-18 09:40:28.123",NULL,NULL,NULL
244,"EC-LGC","2023-05-18 09:40:28.456",NULL,NULL,NULL
245,"EC-LGD","2023-05-18 09:40:28.798",NULL,NULL,NULL
246,"EC-MHV","2023-05-18 09:40:29.185",NULL,NULL,NULL
247,"EC-LBD","2023-05-18 09:45:24.783",NULL,NULL,NULL
248,"EC-MMF","2023-05-18 09:45:25.156",NULL,NULL,NULL
249,"EC-MDO","2023-05-18 09:45:25.529",NULL,NULL,NULL
250,"EC-IKS","2023-05-18 09:45:25.879",NULL,NULL,NULL
251,"EC-ISB","2023-05-18 09:45:26.209",NULL,NULL,NULL
252,"EC-LDF","2023-05-18 09:45:26.577",NULL,NULL,NULL
253,"EC-KXU","2023-05-18 09:45:26.941",NULL,NULL,NULL
254,"EC-ISZ","2023-05-18 09:45:27.318",NULL,NULL,NULL
255,"EC-LAR","2023-05-18 09:45:27.671",NULL,NULL,NULL
256,"EC-JMK","2023-05-18 09:45:28.24",NULL,NULL,NULL
257,"EC-LGC","2023-05-18 09:45:28.623",NULL,NULL,NULL
258,"EC-LGD","2023-05-18 09:45:28.965",NULL,NULL,NULL
259,"EC-MHV","2023-05-18 09:45:29.316",NULL,NULL,NULL
260,"EC-LBD","2023-05-18 09:50:24.662",NULL,NULL,NULL
261,"EC-MMF","2023-05-18 09:50:25.028",NULL,NULL,NULL
262,"EC-MDO","2023-05-18 09:50:25.416",NULL,NULL,NULL
263,"EC-IKS","2023-05-18 09:50:25.788",NULL,NULL,NULL
264,"EC-ISB","2023-05-18 09:50:26.176",NULL,NULL,NULL
265,"EC-LDF","2023-05-18 09:50:26.595",NULL,NULL,NULL
266,"EC-KXU","2023-05-18 09:50:27.023",NULL,NULL,NULL
267,"EC-ISZ","2023-05-18 09:50:27.366",NULL,NULL,NULL
268,"EC-LAR","2023-05-18 09:50:27.78",NULL,NULL,NULL
269,"EC-JMK","2023-05-18 09:50:28.147",NULL,NULL,NULL
270,"EC-LGC","2023-05-18 09:50:28.505",NULL,NULL,NULL
271,"EC-LGD","2023-05-18 09:50:28.842",NULL,NULL,NULL
272,"EC-MHV","2023-05-18 09:50:29.213",NULL,NULL,NULL
273,"EC-LBD","2023-05-18 09:55:24.901",NULL,NULL,NULL
274,"EC-MMF","2023-05-18 09:55:25.39",NULL,NULL,NULL
275,"EC-MDO","2023-05-18 09:55:25.794",NULL,NULL,NULL
